player_name,actual_wrc_plus,predicted_wrc_plus,residual
Geraldo Perdomo,138,124.49045298624394,13.509547013756062
Geraldo Perdomo,138,124.49045298624394,13.509547013756062
Chase Meidroth,87,99.55427852055334,-12.55427852055334
Yainer Diaz,92,104.36849001939595,-12.36849001939595
Nathaniel Lowe,91,103.28132289706373,-12.281322897063731
Willy Adames,108,120.273468886682,-12.273468886681997
Zach McKinstry,114,102.2673512182338,11.732648781766201
Lourdes Gurriel Jr.,95,106.6744498884464,-11.674449888446404
Mookie Betts,104,115.56905773661063,-11.569057736610631
Spencer Steer,97,108.47386792343636,-11.473867923436359
Cal Raleigh,161,149.68498873715015,11.31501126284985
Cal Raleigh,161,149.68498873715015,11.31501126284985
Christian Yelich,121,110.17975887094123,10.820241129058772
Josh Naylor,128,117.26692084207501,10.73307915792499
Shea Langeliers,132,121.7240307854966,10.275969214503405
Yandy Díaz,135,124.7833017223813,10.216698277618704
Brice Turang,124,114.0092678572307,9.990732142769303
Marcell Ozuna,114,123.9731469926333,-9.973146992633303
Ryan O'Hearn,127,117.04646991641954,9.95353008358046
J.P. Crawford,113,103.05019400198363,9.949805998016373
Christian Walker,99,108.77511404812114,-9.77511404812114
Nick Castellanos,90,99.7065091540177,-9.706509154017695
Jackson Holliday,96,105.66814349504297,-9.668143495042969
James Wood,127,117.3949213306761,9.605078669323902
Julio Rodríguez,126,116.42117743136478,9.578822568635218
Pete Alonso,141,131.58466898510434,9.415331014895656
Dansby Swanson,99,108.16153630425593,-9.161536304255932
Jordan Beck,90,99.02470556805568,-9.02470556805568
Trevor Story,101,109.96681876777006,-8.966818767770064
J.T. Realmuto,94,102.91736320290906,-8.917363202909058
Francisco Lindor,129,120.16250223676398,8.837497763236016
Francisco Lindor,129,120.16250223676398,8.837497763236016
Ketel Marte,145,136.5960627036464,8.403937296353604
Ketel Marte,145,136.5960627036464,8.403937296353604
Sal Frelick,114,105.8598859846215,8.1401140153785
Jorge Polanco,132,123.86698020705593,8.133019792944069
Jorge Polanco,132,123.86698020705593,8.133019792944069
Masyn Winn,91,99.08919421221287,-8.089194212212874
Pete Crow-Armstrong,109,117.03577941735074,-8.035779417350739
Jo Adell,112,120.0275337666807,-8.027533766680705
Willson Contreras,124,116.00818386735683,7.991816132643166
Josh Jung,91,98.37634840499621,-7.376348404996207
Taylor Ward,117,124.22796182533396,-7.2279618253339635
Bryson Stott,100,107.22519588885233,-7.225195888852326
Matt Olson,136,128.82849561354945,7.17150438645055
Juan Soto,156,148.85008305585677,7.149916944143229
Vinnie Pasquantino,116,123.07182988697448,-7.071829886974484
Bryce Harper,131,124.2060232539543,6.793976746045701
José Ramírez,133,126.2146700932595,6.7853299067405
José Ramírez,133,126.2146700932595,6.7853299067405
Paul Goldschmidt,103,109.715233924072,-6.715233924071995
Gunnar Henderson,120,113.39151675563384,6.608483244366155
Tyler Soderstrom,125,118.59467288191777,6.405327118082226
Michael Busch,140,133.64198548614274,6.358014513857256
Spencer Torkelson,118,124.23066490891932,-6.230664908919323
Corbin Carroll,139,132.77260748081827,6.227392519181734
Gleyber Torres,113,119.15330644232664,-6.153306442326638
Bobby Witt Jr.,130,123.9487055568417,6.051294443158298
Alejandro Kirk,116,121.88022404383267,-5.880224043832669
Kyle Schwarber,152,146.3645107206379,5.635489279362105
Lawrence Butler,96,101.47232879292548,-5.472328792925481
Maikel Garcia,121,115.67188822941591,5.328111770584087
Kyle Manzardo,113,118.23558331110792,-5.235583311107916
Kyle Tucker,136,131.00646424446654,4.993535755533458
Trent Grisham,129,133.986509545983,-4.9865095459830115
Bryan Reynolds,99,103.66773263821426,-4.667732638214261
Bryan Reynolds,99,103.66773263821426,-4.667732638214261
Brendan Donovan,119,114.59633768151868,4.403662318481324
Teoscar Hernández,102,106.38603902654688,-4.386039026546882
Matt Chapman,118,122.3516522862459,-4.351652286245894
Josh Smith,100,104.26454411446299,-4.264544114462993
Wyatt Langford,118,122.2129376248045,-4.212937624804496
Andy Pages,113,108.83956852961043,4.160431470389568
Randy Arozarena,120,116.16967419424583,3.830325805754171
Ernie Clement,98,101.81880338700127,-3.8188033870012674
Xavier Edwards,95,98.51874483177147,-3.518744831771471
Xavier Edwards,95,98.51874483177147,-3.518744831771471
Gavin Sheets,111,107.6294733143537,3.370526685646297
Byron Buxton,136,132.66734075039074,3.3326592496092644
Trevor Larnach,102,105.25505985088434,-3.2550598508843365
