player_name,actual_wrc_plus,predicted_wrc_plus,residual
Francisco Lindor,129,120.5559947871608,8.444005212839201
Francisco Lindor,129,120.5559947871608,8.444005212839201
Willson Contreras,124,115.56396038344545,8.436039616554552
Trevor Story,101,109.30944645015023,-8.309446450150233
Bryce Harper,131,122.79649154871802,8.203508451281976
Marcell Ozuna,114,122.18844550110266,-8.188445501102663
Bryson Stott,100,108.17645879627341,-8.176458796273408
Trent Grisham,129,137.1173951942145,-8.11739519421451
James Wood,127,118.88319708323966,8.116802916760335
Matt Olson,136,128.2948230208829,7.7051769791171125
Nick Castellanos,90,97.43257587240426,-7.432575872404257
Ketel Marte,145,137.6396890988837,7.360310901116293
Ketel Marte,145,137.6396890988837,7.360310901116293
Jordan Beck,90,97.24567944190579,-7.245679441905793
Sal Frelick,114,106.92900551354313,7.070994486456868
Jorge Polanco,132,125.11553914999504,6.884460850004956
Jorge Polanco,132,125.11553914999504,6.884460850004956
Masyn Winn,91,97.52434144468288,-6.524341444682875
Josh Jung,91,97.52325323367606,-6.5232532336760585
Bobby Witt Jr.,130,123.56025114602157,6.439748853978429
Teoscar Hernández,102,108.39973362390869,-6.399733623908688
Kyle Tucker,136,129.74921544002586,6.250784559974136
Kyle Manzardo,113,119.02428875066263,-6.024288750662635
José Ramírez,133,127.07770357045453,5.922296429545469
José Ramírez,133,127.07770357045453,5.922296429545469
Tyler Soderstrom,125,119.23847580978286,5.761524190217145
Maikel Garcia,121,115.2497954335118,5.750204566488193
Spencer Torkelson,118,123.5461240118174,-5.546124011817398
Junior Caminero,129,134.19307856323238,-5.193078563232376
Pete Alonso,141,135.856804683074,5.143195316926011
Paul Goldschmidt,103,108.12903235363731,-5.129032353637314
Alejandro Kirk,116,121.03203862416612,-5.03203862416612
Seiya Suzuki,123,127.70990334280526,-4.709903342805262
Eugenio Suárez,125,129.7072854431907,-4.707285443190699
Randy Arozarena,120,115.48576717358407,4.514232826415935
Caleb Durbin,105,109.48861682173577,-4.488616821735775
Bryan Reynolds,99,103.30944511527986,-4.309445115279857
Bryan Reynolds,99,103.30944511527986,-4.309445115279857
Andy Pages,113,108.7039273498744,4.296072650125595
Carlos Correa,106,101.87930158318898,4.120698416811024
Nico Hoerner,109,104.90784761940094,4.09215238059906
Gavin Lux,102,98.06944301412034,3.9305569858796616
Wyatt Langford,118,121.83850804345394,-3.838508043453942
Gleyber Torres,113,116.59867008075673,-3.598670080756733
Lawrence Butler,96,99.5900123046206,-3.5900123046206005
Gavin Sheets,111,107.44166192914292,3.5583380708570758
Fernando Tatis Jr.,131,127.48166760216778,3.518332397832225
Kyle Schwarber,152,148.5490691350569,3.4509308649431034
Lenyn Sosa,100,103.39010355063454,-3.390103550634535
Josh Smith,100,103.32215115567165,-3.322151155671648
Ernie Clement,98,101.11737515051054,-3.11737515051054
Rafael Devers,135,131.94133312089374,3.058666879106255
Zach Neto,116,119.02197651936284,-3.0219765193628376
Corbin Carroll,139,136.06818686828166,2.931813131718343
Juan Soto,156,153.076214676998,2.9237853230019937
Jung Hoo Lee,107,109.8539969658066,-2.8539969658066013
Brendan Donovan,119,116.14777324432784,2.852226755672163
Alec Bohm,105,107.80274616933333,-2.802746169333332
Matt Chapman,118,120.76685288354825,-2.7668528835482533
Steven Kwan,99,101.64725601386533,-2.6472560138653307
Manny Machado,123,120.40661591578727,2.5933840842127296
Jarren Duran,111,108.43645042690724,2.5635495730927573
Jazz Chisholm Jr.,126,128.39954771550774,-2.3995477155077367
Ben Rice,133,135.37574863132852,-2.37574863132852
Alec Burleson,124,121.96326489469115,2.03673510530885
CJ Abrams,107,109.00186305113306,-2.001863051133057
Riley Greene,121,122.95058332977136,-1.9505833297713622
Cody Bellinger,125,123.18792834416962,1.8120716558303798
Xavier Edwards,95,96.67103406997062,-1.6710340699706165
Xavier Edwards,95,96.67103406997062,-1.6710340699706165
Mike Trout,120,118.33740852642526,1.6625914735747358
Jake Cronenworth,117,115.33858595942893,1.6614140405710742
Jose Altuve,113,114.33544265363523,-1.3354426536352264
Michael Busch,140,138.70252988864766,1.2974701113523395
Heliot Ramos,106,107.28663511386793,-1.2866351138679306
