id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
624413,"Alonso, Pete",2024,1133,0.9085805934,858,75.25677897,0.5339805825,0.3356643357,0.2541924095,0.2272727273,0.172109444,7.057215755,15,-3.629241352,275,0.2427184466,433,0.3821712268
656541,"Hilliard, Sam",2024,105,0.9292035398,64,75.23102724,0.5619047619,0.296875,0.180952381,0.1875,0.1142857143,7.201278476,2,-2.805344181,41,0.3904761905,26,0.2476190476
682663,"Ramírez, Agustín",2024,945,0.9104046243,719,75.23016891,0.5544973545,0.3198887344,0.2433862434,0.2155771905,0.164021164,7.505137651,19,-21.22765807,226,0.2391534392,399,0.4222222222
663624,"Mountcastle, Ryan",2024,700,0.9090909091,485,75.20835119,0.5257142857,0.2742268041,0.19,0.1525773196,0.1057142857,7.524790529,13,-10.68119088,215,0.3071428571,223,0.3185714286
701350,"Anthony, Roman",2024,415,0.8982683983,300,75.14686412,0.5253012048,0.37,0.2674698795,0.2233333333,0.1614457831,7.402517687,18,-0.5118402564,115,0.2771084337,153,0.3686746988
671213,"Casas, Triston",2024,190,0.9090909091,130,75.12307574,0.5421052632,0.2769230769,0.1894736842,0.1769230769,0.1210526316,7.991144421,3,-9.035395163,60,0.3157894737,64,0.3368421053
805904,"Cole, Zach",2024,83,0.902173913,49,75.1079341,0.5060240964,0.2448979592,0.1445783133,0.1836734694,0.1084337349,7.392006265,3,1.651451155,34,0.4096385542,20,0.2409638554
672356,"Arias, Gabriel",2024,924,0.9076620825,563,75.08046353,0.525974026,0.2753108348,0.1677489177,0.161634103,0.09848484848,7.614572132,22,-30.5854814,361,0.3906926407,263,0.2846320346
621439,"Buxton, Byron",2024,934,0.9050387597,665,75.03482925,0.5053533191,0.3187969925,0.2269807281,0.2030075188,0.1445396146,7.93421576,15,11.74737792,269,0.2880085653,332,0.3554603854
669065,"Stowers, Kyle",2024,814,0.9024390244,566,75.00328463,0.5171990172,0.2985865724,0.2076167076,0.1749116608,0.1216216216,6.737465393,24,4.837622572,248,0.3046683047,259,0.3181818182
691373,"Garcia, Jhostynxon",2024,14,0.875,8,74.96665714,0.5,0.125,0.07142857143,0,0,7.892589286,1,-0.5374816495,6,0.4285714286,2,0.1428571429
656305,"Chapman, Matt",2024,823,0.9063876652,626,74.94938937,0.5078979344,0.3003194888,0.2284325638,0.1805111821,0.1373025516,7.485281142,20,-15.11281029,197,0.2393681652,301,0.3657351154
680769,"Alexander, CJ",2024,32,0.8888888889,18,74.88126531,0.46875,0.1111111111,0.0625,0.05555555556,0.03125,7.9768,1,-2.316978676,14,0.4375,9,0.28125
695600,"Jensen, Carter",2024,129,0.914893617,98,74.84044318,0.4418604651,0.3571428571,0.2713178295,0.2551020408,0.1937984496,6.881832016,4,2.133496209,31,0.2403100775,46,0.3565891473
683146,"Baty, Brett",2024,717,0.9053030303,527,74.80152152,0.4853556485,0.3092979127,0.2273361227,0.174573055,0.1283124128,7.358614142,16,-5.189806132,190,0.2649930265,261,0.3640167364
657757,"Sheets, Gavin",2024,925,0.9077526987,739,74.79107752,0.5210810811,0.3139377537,0.2508108108,0.1759133965,0.1405405405,7.744667178,20,-10.944118,186,0.2010810811,379,0.4097297297
687515,"Thomas, Colby",2024,246,0.9044117647,163,74.78627407,0.487804878,0.2699386503,0.1788617886,0.1963190184,0.1300813008,7.697806911,7,-1.47779855,83,0.337398374,71,0.2886178862
683357,"Caissie, Owen",2024,55,0.9016393443,32,74.78590218,0.5454545455,0.15625,0.09090909091,0.03125,0.01818181818,6.923442545,1,-2.514565324,23,0.4181818182,12,0.2181818182
685301,"Gorski, Matt",2024,80,0.8988764045,52,74.7819525,0.4625,0.2307692308,0.15,0.1346153846,0.0875,7.918019,4,-1.451572737,28,0.35,22,0.275
680776,"Duran, Jarren",2024,1108,0.9074529075,809,74.77824093,0.475631769,0.3176761434,0.2319494585,0.1940667491,0.1416967509,7.484710135,22,-16.68313232,299,0.2698555957,423,0.3817689531
642133,"Tellez, Rowdy",2024,505,0.9017857143,372,74.75059242,0.4851485149,0.3279569892,0.2415841584,0.188172043,0.1386138614,7.962980733,11,-9.578059718,133,0.2633663366,188,0.3722772277
691723,"Mayo, Coby",2024,451,0.902,314,74.73294444,0.4789356984,0.2484076433,0.1729490022,0.1369426752,0.09534368071,7.325523747,3,-11.31414607,137,0.3037694013,161,0.3569844789
682998,"Carroll, Corbin",2024,1081,0.9038461538,828,74.65995315,0.4560592044,0.3043478261,0.2331174838,0.1944444444,0.1489361702,7.305682535,19,-2.822764868,253,0.2340425532,383,0.3543015726
669394,"Burger, Jake",2024,648,0.905027933,464,74.64652307,0.5,0.3189655172,0.2283950617,0.2155172414,0.1543209877,7.434226512,13,-15.10433932,184,0.2839506173,240,0.3703703704
606466,"Marte, Ketel",2024,844,0.9075268817,663,74.61646095,0.4549763033,0.3559577677,0.2796208531,0.1930618401,0.1516587678,7.834037192,14,-2.624902177,181,0.2144549763,365,0.432464455
666211,"Trammell, Taylor",2024,218,0.9008264463,134,74.56588069,0.4449541284,0.3134328358,0.1926605505,0.1417910448,0.0871559633,7.804369266,6,-9.172166428,84,0.3853211009,69,0.3165137615
692585,"Fernández, Yanquiel",2024,290,0.9206349206,203,74.53485424,0.4517241379,0.2512315271,0.175862069,0.1231527094,0.08620689655,8.000572172,2,-7.546813905,87,0.3,89,0.3068965517
666464,"Encarnacion, Jerar",2024,84,0.9032258065,56,74.52567286,0.5357142857,0.375,0.25,0.1964285714,0.130952381,7.773504048,0,-3.482928264,28,0.3333333333,37,0.4404761905
592669,"Renfroe, Hunter",2024,151,0.8988095238,120,74.51178715,0.4370860927,0.3166666667,0.2516556291,0.15,0.119205298,7.586721589,3,-11.77281931,31,0.2052980132,75,0.4966887417
701358,"Smith, Cam",2024,885,0.9049079755,640,74.49875067,0.4689265537,0.2546875,0.184180791,0.1453125,0.1050847458,7.315622395,16,-22.39209039,245,0.2768361582,294,0.3322033898
682829,"De La Cruz, Elly",2024,1097,0.9051155116,759,74.48853565,0.450319052,0.3412384717,0.2360984503,0.2028985507,0.1403828624,7.186779107,33,-18.14458018,338,0.3081130356,411,0.3746581586
592518,"Machado, Manny",2024,1206,0.904047976,906,74.47558961,0.4320066335,0.353200883,0.2653399668,0.2196467991,0.1650082919,7.824878789,23,-17.12831487,300,0.2487562189,463,0.3839137645
668723,"Vilade, Ryan",2024,29,0.90625,23,74.43954897,0.4482758621,0.2173913043,0.1724137931,0.2173913043,0.1724137931,7.135798276,0,-2.670650853,6,0.2068965517,7,0.2413793103
