player.name,player_id,year,player_age,WRC.,k_percent,isolated_power,avg_swing_speed,squared_up_contact,avg_swing_length,attack_angle,ideal_angle_rate,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Ian Happ,664023,2025,30,115.772520361249,22.8,0.177,71.7,32.6,6.9,10.3,46.5,90,16.1,35.7,10.4,44.4,63.5,20.8,83.4,24.6,40.9,33.8,25.3,36.6,29.1,26,8.3
Vinnie Pasquantino,686469,2024,26,109.231377784732,12.8,0.184,71.7,37.2,7.4,9.6,57.9,91,14.6,31.9,7.1,46.5,66.3,30.7,75,14.5,45.8,35.3,18.9,40.3,27.8,23.5,8.4
Vinnie Pasquantino,686469,2025,27,115.609800517036,15.7,0.211,72.5,36.3,7.4,9.8,55.7,90.9,16.3,33.5,10.8,44.7,65.2,30.4,76.9,18.2,45.1,32.9,22,38.2,29.7,24.3,7.9
Zach Neto,687263,2024,23,114.888537899413,23.3,0.194,71,33.8,7.1,14.6,56.5,88.5,12.3,29,8.4,38.8,67.9,31.3,76.3,27.1,46.2,33.9,19.9,45.2,29.2,18.7,6.9
Zach Neto,687263,2025,24,115.585663049805,26.9,0.217,71.4,36.6,7.1,18.1,48.2,91,17.5,38,14,46.6,69.4,30.1,74.3,29.1,45.8,33.2,20.9,36.3,31.6,24.6,7.5
Alejandro Kirk,672386,2025,26,115.550875811779,11.7,0.139,72.6,38.6,7.2,7.9,56,91.1,11.9,34.4,10.1,50.8,65.9,29,79.4,18.5,28.1,41.5,30.4,44.2,25.4,24.1,6.3
Brandon Nimmo,607043,2024,31,108.356135213997,23.8,0.175,73.3,30.9,7.3,6.6,50.6,91.9,11.2,33.7,9.1,47.4,65.6,24.1,79,23.4,37,36.3,26.7,42.8,27.2,25,5
Brandon Nimmo,607043,2025,32,114.083801065431,21.6,0.174,72.3,34.4,7.2,6.6,47.9,91.9,11.2,29.7,8.8,50.2,66.2,24.2,75.7,23.8,35.2,35.5,29.3,46,23.6,23.1,7.3
Brandon Lowe,664040,2025,30,113.991144297087,26.9,0.221,73.9,30,7.2,14.8,48.7,91.1,15.2,37.6,12.9,46.6,77.6,32.1,87.1,33.4,45.6,30.8,23.6,37.9,29.7,25.8,6.6
Marcell Ozuna,542303,2024,33,154.454381459386,24.7,0.244,74,33.9,7.4,15.4,53.2,92.1,14.4,40.5,15.5,53.4,72.5,26.5,81,31.4,46.8,32,21.1,38,31.6,27.3,3.2
Marcell Ozuna,542303,2025,34,113.968144533361,24.3,0.168,72.9,31.8,7.2,13.9,53,89.9,14.1,35.1,11.4,44.6,57.9,22.3,71.6,25.8,42.9,34.3,22.9,40.3,32.6,22.3,4.9
Sal Frelick,686217,2024,24,86.7023468759898,14.9,0.076,66.3,36,6.9,5.6,40.9,83.4,9.7,30,0.8,19.5,57,25.8,59.9,12.9,29.5,43,27.5,48,18,24.8,9.3
Sal Frelick,686217,2025,25,113.950279441078,13.5,0.117,68.2,33.3,7.1,8.6,52.1,85.5,12.1,30.7,3.1,27.4,60,26.3,62.6,12.8,41,34.2,24.8,46.7,20.2,23.2,10.1
Zach McKinstry,656716,2025,30,113.68269542178,21.7,0.179,67.5,30.9,6.8,9.9,43.2,85.7,14.1,41.2,6.1,30.5,65.5,26.4,80.9,22.8,43.2,31.4,25.4,40.9,24.5,29.1,5.5
William Contreras,661388,2024,26,131.577934673998,20.5,0.185,74.7,34.9,7.3,10,63.4,92.8,6.1,29,10,49.5,71,25.6,76.9,27.8,36.6,39.2,24.2,54,19.4,21.4,5.2
William Contreras,661388,2025,27,113.478765488405,18.2,0.139,73.2,36.6,7.1,10.6,65.6,91.1,7,31.6,6.4,48.5,67.9,25.2,78.7,24.2,35.2,38.9,25.9,50.4,21.7,23.9,4
Andy Pages,681624,2025,24,113.466946036986,21.6,0.189,72.5,29.3,7.9,7.8,48.1,88.6,16.9,38.9,8.4,37.2,70.5,33.2,84.6,21.5,40.7,34.1,25.2,35.4,32.5,27.2,4.9
Jose Altuve,514888,2024,34,126.722427226854,17.4,0.144,69.4,33.2,7.8,16.5,49.4,86.5,14.1,35.4,6.5,31.2,68.6,37.3,76,22.1,51.3,34.6,14.1,43,25.9,25.9,5.1
Jose Altuve,514888,2025,35,113.378324338175,16.7,0.177,69.7,31.7,7.6,15.3,55.2,85.1,17.7,29.8,6.2,30.9,63.5,38.9,66,20.7,52.5,31.3,16.3,43.2,25.1,19.8,11.9
J.P. Crawford,641487,2025,30,113.190652018898,18.7,0.105,71,29.5,7.2,4.7,36.7,87.2,11.5,40,4.8,34.7,65.1,21.9,76.6,20.4,33.6,34.1,32.3,44.4,23.1,27.3,5.3
Gleyber Torres,650402,2024,27,105.08294125638,20.5,0.121,70.1,32.8,7.2,8.4,52.5,88.6,15,38.2,6.3,35.4,69.2,21.4,78.4,22.9,31.7,34.7,33.6,36.9,29.9,26.9,6.3
Gleyber Torres,650402,2025,28,112.761138028463,16.1,0.131,70.2,35.9,7.2,9.3,56.5,90,14.3,38.6,8.2,39,64.8,17.1,81.7,19.5,31.1,39,29.9,38.4,30.6,26,5
Kyle Manzardo,700932,2025,24,112.65081053203,25.4,0.221,70.6,35.7,7.4,17.3,52.2,90.3,21.3,37.1,11.8,43.8,67,27.4,70.2,27.7,39.7,34.4,25.9,30.3,35.3,24.4,10
Jo Adell,666176,2025,26,112.440592546433,26.4,0.249,77.6,26.2,7.7,8,49.5,91.7,16.1,35.1,17.3,50,74.3,32.6,84.5,28.5,38,36.4,25.5,38,29.8,23.4,8.8
Jackson Chourio,694192,2024,20,117.997104397185,21.1,0.189,73.2,34.4,7.4,7.4,57.9,89.7,7.6,33.2,7.8,44.9,66.1,31.9,77.4,27.1,33.2,42.7,24.1,48,24.4,23.9,3.7
Jackson Chourio,694192,2025,21,111.352241644194,20.5,0.193,73.9,34.3,7.5,7.1,57.5,89.3,10.6,34,9.7,42.3,70.4,36.9,79.6,26,34.3,38.4,27.4,42.8,25.7,24.1,7.4
Jarren Duran,680776,2024,27,130.740706633036,21.8,0.207,73.6,30,7.6,3.9,36.2,90.8,9.5,33.8,9.3,43.9,68.2,28.1,78.5,24.8,29.9,40,30.1,46.8,21,25.6,6.6
Jarren Duran,680776,2025,28,111.150787053783,24.3,0.186,74.8,32,7.5,5.6,44.5,91.8,12,34.5,9.7,46.8,64.1,31.1,68.7,29.3,35.4,38.5,26.2,41.5,25.1,25.5,7.9
Gavin Sheets,657757,2025,29,110.645862282431,19.6,0.177,74.8,31.3,7.7,8.4,53.9,89.9,14,38.8,9.5,46.5,59.6,31.4,64.8,23,42.2,33.9,23.9,37.3,24.4,29,9.3
Nico Hoerner,663538,2024,27,101.898693001714,10.3,0.1,68.2,35.4,7.1,4.9,43.7,85.7,10.4,36,1.2,27.6,63.7,31.8,71.3,11.9,33.3,37.4,29.3,43.9,19.5,29.9,6.7
Nico Hoerner,663538,2025,28,109.388938366501,7.6,0.097,68.5,40,7.2,5.9,47.9,86.7,12.5,36.1,2.3,30.3,63.4,32.5,70.7,11.2,37,37.2,25.8,44.9,23.8,25.5,5.8
Pete Crow-Armstrong,691718,2025,23,108.919143763799,24,0.234,72.7,30.1,7.2,14.6,50.2,89.5,20,33.9,13,41.6,81.2,41.7,86.2,28.9,48.9,30.4,20.7,33.5,35.5,21.6,9.5
Nolan Schanuel,694384,2024,22,104.700086465124,17,0.112,65.2,36.6,6.6,9.1,46.4,86.1,10.3,36.4,3.5,25.4,62.1,21.5,72.4,14.4,39.2,37.8,23,46.2,22.5,27.7,3.5
Nolan Schanuel,694384,2025,23,108.632390618135,12.6,0.125,67.5,37.9,6.7,8.6,46.2,87.5,13.2,38,4.5,29,65.4,24,80.4,15,38.7,38,23.3,42.9,25,26.9,5.2
Elly De La Cruz,682829,2024,22,119.265106095655,31.3,0.212,75.2,31.7,7.3,9.6,52.8,91.8,9.7,35.7,12.7,45.7,61.7,26.9,76.5,33.4,43.4,34,22.6,47.1,24.8,24.8,3.2
Elly De La Cruz,682829,2025,23,108.503526135948,25.9,0.176,74.5,34.4,7.2,8.3,49.5,91,7.6,32.5,10.2,44.2,64.1,28.5,75.3,31.7,36.5,37.2,26.3,51.2,20.9,22.7,5.1
Willy Adames,642715,2024,28,120.273500520939,25.1,0.211,73.6,29,8.1,15.5,58.5,88.6,20.6,38.2,12,40.7,71.2,28.1,82.7,29.5,43.9,33.9,22.3,30.9,36.4,22.7,10
Willy Adames,642715,2025,29,107.721351701398,26.1,0.196,72.1,29.2,8.1,18.4,50.3,88.9,21.1,35.6,12.6,42.8,67.9,26.7,77.4,29.2,44.2,31.8,24,31.8,36.3,22.3,9.5
Josh Bell,605137,2024,31,101.489728441089,19.9,0.156,70.4,36.1,7.9,9.2,53.5,88.9,10.5,31.4,7.6,40.1,73.4,27.4,82.7,26.8,41.3,31.8,26.8,49.6,23.5,21.1,5.7
Josh Bell,605137,2025,32,107.476004714924,16.5,0.18,73.1,34.4,8,10.1,58,90.4,10.4,33.4,12,47,68.9,26.8,77.3,23.6,41.5,31.9,26.6,46,27.9,20.6,5.5
CJ Abrams,682928,2024,23,106.304925474944,21.3,0.187,72.2,31.9,7.5,12.4,61.9,88.2,15.1,33,6.9,40.7,70.5,35.4,79.1,24.7,45.2,33,21.8,40.7,28,22.7,8.6
CJ Abrams,682928,2025,24,107.317565402189,19.7,0.176,72.4,31.4,7.6,10.9,59,88.7,13.3,34.4,7.6,39.2,67.4,32.6,78.4,24.4,43.8,34.6,21.6,40.1,28.1,23.7,8.1
Jung Hoo Lee,808982,2025,26,107.179508018003,11.5,0.141,68.3,39.8,7.5,5.2,40.9,87.1,9.9,34.1,3.7,32,64.5,22.5,71.3,13.1,40,34.7,25.4,47.5,24.9,23.9,3.7
Heliot Ramos,671218,2024,24,119.759808643095,26.1,0.2,75.2,29.8,6.9,8.5,46.7,91.5,10.4,34.3,14.5,47.5,72.3,29.9,83.1,28.7,30.2,41,28.8,43.3,27,24.4,5.2
Heliot Ramos,671218,2025,25,106.418878270387,22.7,0.144,74,32.7,6.8,6,47.2,91.8,11.5,32.5,8.8,47.4,66.2,29.7,73.5,25.3,33.1,42.5,24.4,44.4,25.4,24.4,5.8
Carlos Correa,621043,2025,30,106.241181346465,19.3,0.126,73.8,31.4,7.2,7.7,41.7,90.5,7.3,34.6,6.8,45.9,64.4,28.8,72.7,22.3,34.4,37.6,28,48.2,18.8,27.5,5.4
Mike Yastrzemski,573262,2025,34,105.927342021605,19.4,0.17,71.2,34.6,7.5,11,66.7,90.8,20.4,35.6,8.5,42.6,61.2,22,67.6,19,39.4,34.6,26.1,32.7,33.5,24.5,9.3
Caleb Durbin,702332,2025,25,105.082247945641,9.9,0.131,67.9,37,6.8,8.1,63.8,85.2,13.9,29.6,4,26.9,61.3,24.6,67.6,13,41.3,38.3,20.4,43.8,22.9,22.4,10.9
Alec Bohm,664761,2024,27,113.47498826995,14.2,0.168,72.2,39.1,7.4,6.4,50.8,90.4,10.1,35.2,6.8,45.6,71.1,27.2,89,17.6,34.2,37.6,28.3,46.4,23.4,25.7,4.4
Alec Bohm,664761,2025,28,104.825332172004,16.3,0.122,71.7,37.5,7.3,5.4,47,90.8,6.8,35.6,6.2,46.4,66.9,26.3,84.8,14.6,27.3,47.4,25.3,49.7,20.9,27.3,2.1
