"player","actual","meta_predictions","residual"
"Caleb Durbin",105.082247945641,98.0052531117926,7.0769948338484
"Alec Bohm",104.825332172004,98.9504046284635,5.87492754354049
"Luis Arraez",104.033419475721,107.340208743929,-3.30678926820792
"Xander Bogaerts",103.867343863634,96.1995199425794,7.66782392105465
"Mookie Betts",103.826008086538,110.298456481751,-6.47244839521332
"Paul Goldschmidt",103.429117598697,100.690409875722,2.73870772297468
"Trevor Larnach",101.856698718584,96.2489920751054,5.60770664347862
"Teoscar Hernández",101.811861792133,100.844355579895,0.967506212237708
"Gavin Lux",101.519113936152,91.6267229113817,9.8923910247703
"Trevor Story",100.996653324534,103.459425352178,-2.46277202764449
"Miguel Vargas",100.859929236361,116.162499830262,-15.302570593901
"Josh Smith",100.273883727364,95.7866321483548,4.4872515790092
